title,label
"География. 5 класс. Контурные карты.","контурные_карты"
"Химия. 11 класс. Учебник. ФГОС| Габриелян Олег Саргисович, Остроумов Игорь Геннадиевич","учебник"
"Обществознание. 8 класс. Учебное пособие. В 3 ч. Часть 1 (для слабовидящих обучающихся)","учебник"
"Физика. 9 класс. Сборник вопросов и задач| Марон Абрам Евсеевич, Марон Евгений Абрамович","сборники_задач"
"Прописи. 1 класс. Часть 2. ФГОС| Горецкий Всеслав Гаврилович, Федосова Нина Алексеевна","прописи"
"Технология. 1 класс. Учебное пособие. В 2 ч. Часть 1 (для слабовидящих обучающихся)","учебник"
"Естествознание. Практикум. Учебное пособие для средних профессиональных организаций| Алексашина Ирина Юрьевна","методические_пособия"
"История. Введение в Новейшую историю России. 9 класс. Атлас. Учебное пособие| Власенко В. И.","контурные_карты"
"Немецкий язык. Прописи. 2 класс| Захарова Ольга Леонидовна","прописи"
"Русский родной язык. Практикум. 2 класс. ФГОС| Кузнецова Марина Ивановна, Петленко Лидия Владимировна","методические_пособия"
"Английский язык. 3 класс. Учебное пособие. В 2 ч. Часть 1 (Звезды моего города)| Мильруд Радислав Петрович, Дули Дженни","учебник"
"Английский язык. Тренировочные упражнения в формате ГИА. 9 класс| Ваулина Юлия Евгеньевна, Подоляко Ольга Евгеньевна","тренажеры"
"Геометрия. 8 класс. Рабочая тетрадь. Часть 1| Мерзляк Аркадий Григорьевич","рабочая_тетрадь"
"Немецкий язык. Рабочая тетрадь. 3 класс. Часть Б.| Эванс Вирджиния, Дули Дженни","рабочая_тетрадь"
"Spotlight 4: Student's Book / Английский язык. 4 класс. Учебник. Часть 1 (Английский в фокусе).| Быкова Надежда Ильинична, Дули Дженни","учебник"
"Русский язык. Тесты. 3 класс. (Перспектива)| Михайлова Светлана Юрьевна","диагностические_материалы"
"Русский язык. 6 класс. Рабочая тетрадь. Часть 1. ФГОС| Бондаренко М. А.","рабочая_тетрадь"
"Английский язык. Грамматический тренажер. 9 класс| Тимофеева С. Л.","тренажеры"
